entry_idx,entry_time,entry_price,stop,target,exit_idx,exit_time,exit_price,pnl,exit_reason,confidence,pattern,trade_type,tenure
538,2020-02-24,72.18536376953125,69.28452706924739,77.98703717009897,539,2020-02-25,69.28452706924739,-2.900836700283861,stop,0.5148497288116916,pin,LONG,swing
540,2020-02-26,70.84661865234375,74.03095670826747,64.47794254049631,541,2020-02-27,66.21549224853516,4.631126403808594,signal_exit,0.7,inside,SHORT,swing
545,2020-03-04,73.28925323486328,78.2944714738462,63.27881675689744,546,2020-03-05,70.9119644165039,2.377288818359375,signal_exit,0.7,inside,SHORT,swing
548,2020-03-09,64.43616485595703,58.60794156035123,76.09261144716864,549,2020-03-10,69.07695770263672,4.6407928466796875,signal_exit,0.6159704652870047,pin,LONG,swing
550,2020-03-11,66.6778564453125,73.06997122836137,53.893626879214764,551,2020-03-12,60.09312057495117,6.584735870361328,signal_exit,0.7,inside,SHORT,swing
553,2020-03-16,58.635772705078125,51.02665298871745,73.85401213779947,554,2020-03-17,61.21397399902344,2.5782012939453125,signal_exit,0.6536685897446153,pin,LONG,swing
558,2020-03-23,54.31695175170898,61.5694234248104,39.81200840550613,559,2020-03-24,59.76630401611328,-5.449352264404304,signal_exit,0.5960351153819923,pin,SHORT,swing
576,2020-04-17,68.46205139160156,72.1283676964621,61.129418781880474,577,2020-04-20,67.04100799560547,1.4210433959960938,signal_exit,0.8354801439675775,pin,SHORT,swing
586,2020-05-01,69.97996520996094,66.79531645489325,76.3492627200963,592,2020-05-11,76.3492627200963,6.369297510135368,target,0.9020531493459027,pin,LONG,swing
605,2020-05-29,77.17733001708984,79.89126589366535,71.74945826393883,606,2020-06-01,78.1264419555664,-0.9491119384765625,signal_exit,0.85,inside,SHORT,swing
617,2020-06-16,85.46453857421875,82.20781526968261,91.97798518329103,632,2020-07-08,91.97798518329103,6.513446609072275,target,0.9179236557708006,pin,LONG,position
650,2020-08-03,105.77473449707033,101.06701706325552,115.19016936469994,664,2020-08-21,115.19016936469994,9.415434867629614,target,0.8883845627302049,pin,LONG,position
666,2020-08-25,121.41949462890624,116.52620185197003,131.20608018277863,672,2020-09-02,131.20608018277863,9.7865855538724,target,0.9092836446051,pin,LONG,swing
674,2020-09-04,117.65995025634766,109.85909816336566,133.26165444231165,675,2020-09-08,109.85909816336566,-7.800852092981998,stop,0.7366511180251476,pin,LONG,swing
683,2020-09-18,103.92516326904295,113.91593186645915,83.94362607421057,684,2020-09-21,107.07676696777344,-3.151603698730483,signal_exit,0.7,engulf,SHORT,swing
719,2020-11-09,113.34173583984376,119.40582637307534,101.21355477338061,720,2020-11-10,113.0007095336914,0.34102630615235796,signal_exit,1.0,engulf,SHORT,swing
740,2020-12-09,118.66193389892578,122.55917576084491,110.86745017508753,741,2020-12-10,120.08455657958984,-1.4226226806640625,signal_exit,1.0,engulf,SHORT,swing
747,2020-12-18,123.41699981689452,127.58777010685422,115.0754592369751,748,2020-12-21,124.9468002319336,-1.5298004150390767,signal_exit,1.0,engulf,SHORT,swing
749,2020-12-22,128.50332641601562,123.90034453470004,137.7092901786468,756,2021-01-04,123.90034453470004,-4.602981881315586,stop,0.8126045032569117,pin,LONG,swing
758,2021-01-06,123.35853576660156,128.78835408148166,112.49889913684137,759,2021-01-07,127.56792449951172,-4.209388732910156,signal_exit,0.7352246420968902,pin,SHORT,swing
770,2021-01-25,139.26068115234375,145.28036521213116,127.22131303276893,771,2021-01-26,139.49452209472656,-0.2338409423828125,signal_exit,0.8984796540628527,pin,SHORT,swing
790,2021-02-23,122.82073211669922,118.30793940067112,131.84631754875542,791,2021-02-24,122.32306671142578,-0.4976654052734375,signal_exit,0.5581732184400274,pin,LONG,swing
793,2021-02-26,118.33181762695312,123.49686355869797,108.00172576346344,794,2021-03-01,123.49686355869797,-5.165045931744842,stop,0.7,inside,SHORT,swing
798,2021-03-05,118.48795318603516,112.01805724940358,131.4277450592983,799,2021-03-08,113.55013275146484,-4.9378204345703125,signal_exit,0.6121282854823351,pin,LONG,swing
808,2021-03-19,117.09249114990234,111.53953928948035,128.19839487074634,809,2021-03-22,120.41036987304688,3.3178787231445312,signal_exit,0.7791434151785732,pin,LONG,swing
816,2021-03-31,119.20033264160156,114.87695907990727,127.84707976499016,817,2021-04-01,120.02979278564452,0.8294601440429545,signal_exit,0.6812232809683243,pin,LONG,swing
829,2021-04-20,129.89566040039062,133.91792188598606,121.85113742919975,830,2021-04-21,130.27627563476562,-0.380615234375,signal_exit,0.8872181728145859,engulf,SHORT,swing
836,2021-04-29,130.2567138671875,134.1326014052737,122.50493879101509,837,2021-04-30,128.28550720214844,1.9712066650390625,signal_exit,0.85,engulf,SHORT,swing
846,2021-05-13,122.15937042236328,117.78395715071699,130.91019696565587,847,2021-05-14,124.58358764648438,2.4242172241210938,signal_exit,0.5497355949718636,pin,LONG,swing
869,2021-06-16,127.22286987304688,130.04438201823297,121.5798455826747,870,2021-06-17,128.8260040283203,-1.6031341552734375,signal_exit,0.8781880290357427,pin,SHORT,swing
871,2021-06-18,127.5259017944336,124.63735745745258,133.30299046839562,878,2021-06-29,133.30299046839562,5.777088673962027,target,1.0,pin,LONG,swing
897,2021-07-27,143.46908569335938,148.19988231866373,134.00749244275067,898,2021-07-28,141.71934509277344,1.7497406005859375,signal_exit,0.85,engulf,SHORT,swing
911,2021-08-16,147.9425506591797,144.6180040774414,154.59164382265624,913,2021-08-18,144.6180040774414,-3.324546581738275,stop,0.85,engulf,LONG,swing
922,2021-08-31,148.63766479492188,144.61617613140487,156.68064212195588,931,2021-09-14,144.61617613140487,-4.021488663517005,stop,1.0,inside,LONG,swing
932,2021-09-15,145.8965301513672,141.47856158902275,154.73246727605607,934,2021-09-17,142.9889373779297,-2.9075927734375,signal_exit,0.735341656891788,pin,LONG,swing
943,2021-09-30,138.52484130859375,142.73617078673396,130.10218235231332,944,2021-10-01,139.6506805419922,-1.1258392333984375,signal_exit,0.7,engulf,SHORT,swing
955,2021-10-18,143.4686737060547,139.2615267182754,151.88296768161325,977,2021-11-17,151.88296768161325,8.414293975558564,target,0.85,engulf,LONG,position
980,2021-11-22,157.86448669433594,162.10342645520285,149.3866071726021,981,2021-11-23,158.24685668945312,-0.3823699951171875,signal_exit,0.9421282453355144,pin,SHORT,swing
992,2021-12-09,171.13909912109375,178.36711764918417,156.68306206491292,993,2021-12-10,175.93325805664062,-4.794158935546875,signal_exit,0.8600699854960694,pin,SHORT,swing
995,2021-12-14,170.91363525390625,178.6479603529478,155.44498505582317,996,2021-12-15,175.78627014160156,-4.8726348876953125,signal_exit,0.780108936189,pin,SHORT,swing
1022,2022-01-24,158.4527130126953,152.0734393729802,171.21126029212553,1023,2022-01-25,156.64877319335938,-1.8039398193359375,signal_exit,0.5800001606187035,pin,LONG,swing
1025,2022-01-27,156.0997772216797,162.9895574613643,142.32021674231044,1026,2022-01-28,162.9895574613643,-6.889780239684626,stop,0.7,inside,SHORT,swing
1046,2022-02-28,162.0903778076172,155.36326803473915,175.54459735337326,1047,2022-03-01,160.20559692382812,-1.8847808837890625,signal_exit,0.7,engulf,LONG,swing
